| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    49.71%    |    0.7201     |      49.50%       |      49.51%      |
|   2   |    49.83%    |    0.6914     |      49.60%       |      49.44%      |
|   3   |    50.19%    |   5496.0967   |      50.19%       |      50.90%      |
|   4   |    50.48%    |   3196.5220   |      51.18%       |      49.89%      |
|   5   |    49.98%    |   2802.3579   |      50.59%       |      49.99%      |
|   6   |    49.79%    |   3621.3367   |      49.00%       |      49.11%      |
|   7   |    49.50%    | 383360832.0000 |      49.40%       |      49.53%      |
|   8   |    49.34%    |  684035.1875  |      49.55%       |      49.29%      |
|   9   |    49.10%    |  388537.9375  |      50.49%       |      49.50%      |
|  10   |    49.19%    |  176046.4844  |      51.23%       |      49.94%      |
|  11   |    48.82%    |  121400.2500  |      51.37%       |      49.33%      |
|  12   |    48.99%    |  48076.2773   |      52.34%       |      49.31%      |
|  13   |    49.75%    |  32354.7617   |      50.57%       |      48.78%      |
|  14   |    50.58%    |  29303.9336   |      50.18%       |      49.60%      |
|  15   |    50.13%    |  89639.9297   |      51.01%       |      50.81%      |
|  16   |    49.97%    |  54623.8750   |      51.08%       |      50.85%      |
|  17   |    50.24%    |  40518.3047   |      51.40%       |      50.51%      |
|  18   |    50.05%    |  21039.9785   |      51.38%       |      50.96%      |
|  19   |    50.25%    |  56463.6641   |      50.52%       |      50.49%      |
|  20   |    50.35%    | 1040034.6875  |      50.47%       |      50.34%      |
|  21   |    49.94%    |  122772.8750  |      49.40%       |      49.37%      |
|  22   |    49.72%    |  257493.2812  |      49.49%       |      49.51%      |
|  23   |    50.12%    |  62915.2812   |      50.52%       |      50.56%      |
|  24   |    49.55%    |  11170.2217   |      50.51%       |      50.42%      |
|  25   |    49.75%    |  33929.0430   |      49.47%       |      49.51%      |
|  26   |    49.79%    |   5455.1895   |      50.37%       |      50.41%      |
|  27   |    49.73%    |  14182.8076   |      50.55%       |      50.49%      |
|  28   |    49.88%    |   2552.8765   |      50.50%       |      49.75%      |
|  29   |    49.92%    |   3572.6387   |      50.10%       |      49.39%      |
|  30   |    49.75%    |   2441.7859   |      50.83%       |      50.02%      |
|  31   |    49.63%    |   4740.0625   |      50.57%       |      49.98%      |
|  32   |    50.41%    |   1595.3972   |      51.67%       |      50.19%      |
|  33   |    50.03%    |  311199.2500  |      49.56%       |      50.79%      |
|  34   |    50.15%    |  162468.1406  |      48.50%       |      48.95%      |
|  35   |    50.03%    |  512503.8125  |      48.62%       |      51.12%      |
|  36   |    49.97%    |  89052.7031   |      50.54%       |      50.49%      |
|  37   |    50.28%    |  237783.8750  |      49.45%       |      49.44%      |
|  38   |    50.43%    |  131888.4688  |      49.43%       |      49.44%      |
|  39   |    50.26%    |  176651.5938  |      49.42%       |      49.51%      |
|  40   |    50.02%    |  330494.6875  |      49.52%       |      49.51%      |
|  41   |    50.67%    |  68591.7812   |      50.22%       |      50.93%      |
|  42   |    51.13%    |  30284.5469   |      49.48%       |      49.66%      |
|  43   |    50.96%    |  75285.5625   |      51.29%       |      51.90%      |
|  44   |    50.03%    | 1128106.7500  |      49.41%       |      49.44%      |
|  45   |    49.88%    | 2500918.2500  |      49.48%       |      50.18%      |
|  46   |    49.84%    |  496826.4375  |      50.21%       |      50.55%      |
|  47   |    50.33%    | 2412091.7500  |      50.60%       |      50.63%      |
