| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    52.52%    |    0.6905     |      56.09%       |      53.86%      |
|   2   |    55.59%    |    0.6546     |      60.08%       |      57.52%      |
|   3   |    60.00%    |    0.6561     |      61.57%       |      61.31%      |
|   4   |    63.21%    |    0.6194     |      62.35%       |      64.10%      |
|   5   |    64.94%    |    0.6387     |      63.13%       |      65.27%      |
|   6   |    65.57%    |    0.6687     |      63.19%       |      65.53%      |
|   7   |    65.91%    |    0.6098     |      63.48%       |      65.17%      |
|   8   |    65.96%    |    0.6369     |      63.84%       |      65.48%      |
|   9   |    66.00%    |    0.6262     |      64.03%       |      65.71%      |
|  10   |    66.07%    |    0.6375     |      64.26%       |      65.65%      |
|  11   |    66.10%    |    0.6169     |      64.01%       |      65.59%      |
|  12   |    66.15%    |    0.6476     |      64.33%       |      65.74%      |
|  13   |    66.23%    |    0.6302     |      64.23%       |      65.78%      |
|  14   |    66.34%    |    0.6392     |      64.36%       |      66.06%      |
|  15   |    66.44%    |    0.6298     |      64.40%       |      66.09%      |
|  16   |    66.44%    |    0.6060     |      64.53%       |      65.82%      |
|  17   |    66.35%    |    0.6309     |      64.62%       |      65.68%      |
|  18   |    66.27%    |    0.6299     |      64.49%       |      65.71%      |
|  19   |    66.24%    |    0.6284     |      64.57%       |      65.74%      |
|  20   |    66.24%    |    0.6374     |      64.63%       |      65.86%      |
|  21   |    66.10%    |    0.6223     |      64.55%       |      65.49%      |
|  22   |    66.08%    |    0.6210     |      64.58%       |      65.47%      |
|  23   |    65.91%    |    0.6145     |      64.62%       |      65.86%      |
|  24   |    65.89%    |    0.6204     |      64.62%       |      65.83%      |
|  25   |    65.95%    |    0.6176     |      64.50%       |      65.73%      |
|  26   |    66.05%    |    0.6123     |      64.55%       |      65.32%      |
|  27   |    65.91%    |    0.6040     |      64.55%       |      65.79%      |
|  28   |    66.09%    |    0.6214     |      64.53%       |      65.65%      |
|  29   |    66.10%    |    0.5987     |      64.50%       |      65.69%      |
|  30   |    66.15%    |    0.6015     |      64.54%       |      65.62%      |
