| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    53.54%    |    0.6620     |      60.20%       |      56.03%      |
|   2   |    60.27%    |    0.6384     |      62.70%       |      63.33%      |
|   3   |    64.50%    |    0.6555     |      63.73%       |      65.52%      |
|   4   |    65.99%    |    0.6381     |      64.29%       |      66.87%      |
|   5   |    66.40%    |    0.6393     |      64.82%       |      66.65%      |
|   6   |    66.61%    |    0.6477     |      65.37%       |      67.17%      |
|   7   |    66.94%    |    0.6402     |      65.53%       |      67.05%      |
|   8   |    66.81%    |    0.6327     |      65.48%       |      66.74%      |
|   9   |    66.59%    |    0.6187     |      65.53%       |      66.55%      |
|  10   |    66.57%    |    0.6398     |      65.30%       |      66.53%      |
|  11   |    66.60%    |    0.6014     |      65.54%       |      66.74%      |
|  12   |    66.72%    |    0.6056     |      65.45%       |      66.73%      |
|  13   |    66.64%    |    0.6175     |      65.50%       |      66.87%      |
|  14   |    66.81%    |    0.6113     |      65.46%       |      66.77%      |
|  15   |    66.89%    |    0.6060     |      65.31%       |      67.07%      |
|  16   |    66.92%    |    0.6293     |      65.41%       |      66.89%      |
|  17   |    66.94%    |    0.5969     |      65.36%       |      67.12%      |
|  18   |    66.96%    |    0.6228     |      65.34%       |      66.95%      |
|  19   |    67.00%    |    0.6001     |      65.55%       |      66.98%      |
|  20   |    66.95%    |    0.5986     |      65.23%       |      66.93%      |
|  21   |    66.98%    |    0.6015     |      65.25%       |      66.88%      |
|  22   |    67.07%    |    0.6265     |      65.25%       |      67.25%      |
|  23   |    67.13%    |    0.5851     |      65.21%       |      67.16%      |
|  24   |    67.12%    |    0.6052     |      65.21%       |      67.13%      |
|  25   |    67.10%    |    0.6352     |      65.39%       |      67.19%      |
|  26   |    67.02%    |    0.5988     |      65.42%       |      67.09%      |
|  27   |    67.14%    |    0.5985     |      65.45%       |      67.40%      |
|  28   |    67.17%    |    0.6123     |      65.52%       |      67.16%      |
|  29   |    67.12%    |    0.5946     |      65.47%       |      67.31%      |
|  30   |    67.08%    |    0.6087     |      65.24%       |      67.14%      |
|  31   |    67.15%    |    0.6124     |      65.24%       |      66.64%      |
|  32   |    67.11%    |    0.5973     |      65.42%       |      66.69%      |
|  33   |    67.03%    |    0.5966     |      65.50%       |      67.22%      |
|  34   |    67.09%    |    0.5962     |      65.31%       |      67.14%      |
|  35   |    67.28%    |    0.5964     |      65.25%       |      66.73%      |
|  36   |    67.10%    |    0.5873     |      65.55%       |      67.00%      |
|  37   |    67.17%    |    0.6232     |      65.25%       |      66.86%      |
|  38   |    67.09%    |    0.5717     |      65.43%       |      67.36%      |
|  39   |    67.16%    |    0.6195     |      65.23%       |      67.12%      |
|  40   |    67.19%    |    0.5925     |      65.22%       |      66.67%      |
|  41   |    67.10%    |    0.5892     |      65.49%       |      67.45%      |
|  42   |    67.12%    |    0.5875     |      65.37%       |      67.34%      |
|  43   |    67.02%    |    0.5839     |      65.49%       |      67.42%      |
|  44   |    67.17%    |    0.5969     |      65.35%       |      67.14%      |
|  45   |    66.98%    |    0.5892     |      65.14%       |      66.67%      |
|  46   |    67.07%    |    0.5961     |      65.28%       |      67.28%      |
|  47   |    67.03%    |    0.6010     |      65.34%       |      67.34%      |
|  48   |    66.97%    |    0.5862     |      65.37%       |      66.71%      |
|  49   |    66.99%    |    0.5880     |      65.41%       |      67.16%      |
|  50   |    67.00%    |    0.6041     |      65.34%       |      67.14%      |
|  51   |    67.18%    |    0.6042     |      65.12%       |      66.74%      |
|  52   |    66.96%    |    0.5927     |      65.26%       |      66.74%      |
|  53   |    67.07%    |    0.5876     |      65.28%       |      66.54%      |
|  54   |    67.05%    |    0.6128     |      65.34%       |      66.98%      |
|  55   |    66.91%    |    0.6004     |      65.34%       |      67.33%      |
|  56   |    66.93%    |    0.6139     |      65.26%       |      66.64%      |
|  57   |    67.01%    |    0.5755     |      65.51%       |      67.43%      |
|  58   |    66.94%    |    0.5993     |      65.43%       |      66.93%      |
|  59   |    67.16%    |    0.5976     |      65.29%       |      66.76%      |
|  60   |    67.03%    |    0.6050     |      65.32%       |      66.98%      |
|  61   |    67.02%    |    0.5949     |      65.40%       |      67.24%      |
|  62   |    66.95%    |    0.6020     |      65.36%       |      67.02%      |
|  63   |    66.98%    |    0.5865     |      65.22%       |      66.93%      |
|  64   |    66.95%    |    0.5749     |      65.28%       |      67.08%      |
|  65   |    67.01%    |    0.5904     |      65.35%       |      67.25%      |
|  66   |    67.14%    |    0.6151     |      65.03%       |      66.92%      |
|  67   |    66.96%    |    0.5917     |      65.30%       |      67.27%      |
|  68   |    67.11%    |    0.6028     |      65.43%       |      67.14%      |
|  69   |    67.13%    |    0.5958     |      65.10%       |      66.64%      |
|  70   |    67.15%    |    0.5922     |      65.47%       |      67.16%      |
|  71   |    67.05%    |    0.5923     |      65.31%       |      66.96%      |
|  72   |    66.93%    |    0.6017     |      65.27%       |      66.64%      |
|  73   |    67.04%    |    0.6003     |      65.39%       |      66.85%      |
|  74   |    66.98%    |    0.5850     |      65.26%       |      67.04%      |
|  75   |    66.89%    |    0.5888     |      65.32%       |      67.15%      |
|  76   |    67.09%    |    0.5956     |      65.18%       |      66.84%      |
|  77   |    66.96%    |    0.5745     |      65.30%       |      67.03%      |
|  78   |    67.27%    |    0.5920     |      65.23%       |      66.91%      |
