| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    55.20%    |    0.6493     |      61.57%       |      60.12%      |
|   2   |    63.72%    |    0.6380     |      63.71%       |      66.21%      |
|   3   |    66.19%    |    0.6327     |      64.37%       |      66.52%      |
|   4   |    66.75%    |    0.6298     |      64.70%       |      66.79%      |
|   5   |    66.69%    |    0.6067     |      65.05%       |      66.80%      |
|   6   |    66.66%    |    0.6369     |      64.99%       |      66.70%      |
|   7   |    66.61%    |    0.6448     |      64.96%       |      66.78%      |
|   8   |    66.64%    |    0.6311     |      64.97%       |      66.84%      |
|   9   |    66.79%    |    0.6143     |      64.88%       |      66.68%      |
|  10   |    66.76%    |    0.6166     |      64.94%       |      66.47%      |
|  11   |    66.80%    |    0.6049     |      64.89%       |      66.60%      |
|  12   |    66.85%    |    0.6114     |      64.76%       |      66.30%      |
|  13   |    66.83%    |    0.6018     |      64.83%       |      66.66%      |
|  14   |    66.90%    |    0.6236     |      64.88%       |      66.46%      |
|  15   |    66.93%    |    0.6289     |      64.78%       |      66.40%      |
|  16   |    66.72%    |    0.6150     |      64.60%       |      65.77%      |
|  17   |    66.94%    |    0.6023     |      64.82%       |      66.44%      |
|  18   |    66.76%    |    0.5833     |      64.89%       |      66.37%      |
|  19   |    66.73%    |    0.6095     |      64.77%       |      65.93%      |
|  20   |    66.81%    |    0.5925     |      64.74%       |      66.60%      |
|  21   |    67.00%    |    0.6106     |      64.72%       |      66.06%      |
|  22   |    66.61%    |    0.5915     |      64.77%       |      65.96%      |
|  23   |    66.96%    |    0.6247     |      64.84%       |      66.28%      |
|  24   |    66.97%    |    0.5988     |      64.74%       |      66.53%      |
|  25   |    66.92%    |    0.5917     |      64.86%       |      66.38%      |
|  26   |    66.97%    |    0.5993     |      64.70%       |      66.50%      |
|  27   |    66.87%    |    0.5935     |      64.85%       |      66.00%      |
|  28   |    66.89%    |    0.5988     |      64.92%       |      66.59%      |
|  29   |    66.96%    |    0.5996     |      64.90%       |      66.31%      |
|  30   |    66.92%    |    0.5877     |      64.90%       |      66.64%      |
|  31   |    66.98%    |    0.5943     |      64.84%       |      66.48%      |
|  32   |    66.80%    |    0.6005     |      64.72%       |      66.13%      |
|  33   |    66.89%    |    0.5808     |      64.79%       |      66.29%      |
|  34   |    66.99%    |    0.6023     |      64.94%       |      66.34%      |
|  35   |    66.84%    |    0.5803     |      64.85%       |      66.11%      |
|  36   |    66.99%    |    0.5848     |      64.84%       |      66.51%      |
|  37   |    67.00%    |    0.5849     |      64.82%       |      66.29%      |
|  38   |    67.03%    |    0.5946     |      65.01%       |      66.47%      |
|  39   |    66.88%    |    0.5992     |      64.92%       |      66.29%      |
|  40   |    66.97%    |    0.5857     |      64.73%       |      66.25%      |
|  41   |    66.77%    |    0.5946     |      65.02%       |      66.67%      |
|  42   |    66.83%    |    0.6108     |      64.78%       |      66.18%      |
|  43   |    66.91%    |    0.5887     |      64.89%       |      66.36%      |
|  44   |    67.13%    |    0.5774     |      64.91%       |      66.14%      |
|  45   |    67.13%    |    0.6043     |      65.00%       |      66.06%      |
|  46   |    67.00%    |    0.5977     |      64.88%       |      66.12%      |
|  47   |    66.90%    |    0.5808     |      64.74%       |      66.18%      |
|  48   |    66.95%    |    0.5784     |      64.57%       |      66.26%      |
|  49   |    67.00%    |    0.5943     |      64.79%       |      66.28%      |
|  50   |    67.07%    |    0.5821     |      64.74%       |      66.20%      |
|  51   |    66.93%    |    0.5963     |      64.88%       |      66.11%      |
|  52   |    66.92%    |    0.5864     |      64.91%       |      66.18%      |
|  53   |    66.92%    |    0.5929     |      64.69%       |      66.13%      |
|  54   |    67.12%    |    0.5817     |      64.91%       |      66.38%      |
|  55   |    66.89%    |    0.5941     |      64.84%       |      66.16%      |
|  56   |    67.10%    |    0.5900     |      64.90%       |      66.58%      |
|  57   |    66.94%    |    0.6036     |      64.90%       |      66.38%      |
|  58   |    67.10%    |    0.6013     |      64.93%       |      66.37%      |
|  59   |    66.87%    |    0.5981     |      64.87%       |      66.57%      |
|  60   |    66.97%    |    0.5958     |      64.95%       |      66.20%      |
|  61   |    66.95%    |    0.5841     |      64.83%       |      66.64%      |
|  62   |    67.16%    |    0.5911     |      64.71%       |      66.66%      |
|  63   |    67.11%    |    0.6006     |      64.34%       |      66.01%      |
|  64   |    67.09%    |    0.5996     |      65.03%       |      66.26%      |
|  65   |    66.78%    |    0.5628     |      64.90%       |      66.45%      |
|  66   |    67.06%    |    0.5765     |      64.79%       |      66.68%      |
|  67   |    66.70%    |    0.5839     |      64.84%       |      66.28%      |
|  68   |    67.25%    |    0.5901     |      64.87%       |      66.59%      |
|  69   |    67.38%    |    0.5918     |      64.74%       |      66.16%      |
|  70   |    67.24%    |    0.5976     |      64.71%       |      66.18%      |
|  71   |    67.15%    |    0.5960     |      64.47%       |      66.24%      |
|  72   |    67.31%    |    0.5765     |      64.74%       |      66.30%      |
|  73   |    67.05%    |    0.5968     |      64.75%       |      66.49%      |
|  74   |    67.04%    |    0.5855     |      64.88%       |      66.57%      |
|  75   |    66.92%    |    0.5860     |      64.88%       |      66.30%      |
|  76   |    67.23%    |    0.5839     |      64.91%       |      66.56%      |
|  77   |    67.18%    |    0.5702     |      64.89%       |      66.60%      |
|  78   |    67.01%    |    0.5750     |      64.84%       |      66.40%      |
|  79   |    67.16%    |    0.6038     |      65.17%       |      66.95%      |
|  80   |    67.03%    |    0.5930     |      64.55%       |      67.16%      |
|  81   |    67.35%    |    0.5873     |      64.68%       |      66.15%      |
|  82   |    67.04%    |    0.5939     |      64.87%       |      66.85%      |
|  83   |    67.07%    |    0.5944     |      64.80%       |      66.31%      |
|  84   |    67.03%    |    0.5977     |      64.85%       |      66.49%      |
|  85   |    67.08%    |    0.5880     |      64.92%       |      66.90%      |
|  86   |    66.99%    |    0.5852     |      64.88%       |      66.62%      |
|  87   |    67.18%    |    0.5761     |      64.82%       |      66.16%      |
|  88   |    67.15%    |    0.5880     |      64.90%       |      66.29%      |
|  89   |    67.16%    |    0.5818     |      64.84%       |      66.30%      |
|  90   |    67.08%    |    0.5870     |      64.68%       |      66.14%      |
|  91   |    67.14%    |    0.5996     |      64.74%       |      66.31%      |
|  92   |    67.12%    |    0.5804     |      64.69%       |      66.59%      |
|  93   |    67.04%    |    0.5908     |      65.00%       |      66.52%      |
|  94   |    67.29%    |    0.5899     |      64.92%       |      66.03%      |
|  95   |    67.15%    |    0.5752     |      64.88%       |      66.42%      |
|  96   |    67.07%    |    0.5837     |      64.84%       |      66.83%      |
|  97   |    66.97%    |    0.5850     |      64.53%       |      66.08%      |
|  98   |    67.16%    |    0.5804     |      64.68%       |      66.01%      |
|  99   |    67.14%    |    0.5941     |      64.77%       |      66.39%      |
|  100  |    67.30%    |    0.5792     |      64.83%       |      66.22%      |
|  101  |    67.29%    |    0.5924     |      64.77%       |      65.82%      |
|  102  |    67.25%    |    0.5785     |      64.74%       |      66.06%      |
|  103  |    67.43%    |    0.5963     |      64.64%       |      66.58%      |
|  104  |    67.04%    |    0.5885     |      64.82%       |      66.40%      |
|  105  |    66.93%    |    0.5869     |      64.92%       |      66.34%      |
|  106  |    67.42%    |    0.5704     |      64.96%       |      66.23%      |
|  107  |    67.03%    |    0.5932     |      64.80%       |      65.85%      |
|  108  |    67.21%    |    0.5769     |      64.80%       |      66.39%      |
|  109  |    67.19%    |    0.5950     |      64.64%       |      66.26%      |
|  110  |    67.17%    |    0.5893     |      64.85%       |      66.41%      |
|  111  |    67.25%    |    0.5783     |      64.90%       |      66.68%      |
|  112  |    67.17%    |    0.5795     |      64.95%       |      66.67%      |
|  113  |    67.05%    |    0.5835     |      64.87%       |      66.18%      |
|  114  |    67.23%    |    0.5842     |      64.93%       |      66.50%      |
|  115  |    67.24%    |    0.5751     |      64.71%       |      66.30%      |
|  116  |    67.18%    |    0.5826     |      64.73%       |      66.34%      |
|  117  |    67.19%    |    0.5693     |      64.90%       |      66.53%      |
|  118  |    67.31%    |    0.6023     |      64.88%       |      66.50%      |
|  119  |    67.48%    |    0.5950     |      64.86%       |      66.77%      |
|  120  |    67.57%    |    0.5975     |      64.85%       |      66.64%      |
|  121  |    67.18%    |    0.5740     |      64.61%       |      66.25%      |
|  122  |    67.17%    |    0.5893     |      64.83%       |      66.00%      |
|  123  |    67.23%    |    0.5886     |      64.75%       |      66.13%      |
|  124  |    67.13%    |    0.5897     |      64.82%       |      66.17%      |
|  125  |    67.24%    |    0.5800     |      65.01%       |      66.27%      |
|  126  |    67.66%    |    0.5777     |      64.83%       |      66.68%      |
|  127  |    67.17%    |    0.5880     |      64.77%       |      66.16%      |
|  128  |    67.35%    |    0.5848     |      64.62%       |      65.95%      |
|  129  |    67.09%    |    0.5832     |      64.99%       |      65.99%      |
|  130  |    67.32%    |    0.5978     |      65.06%       |      66.81%      |
|  131  |    67.13%    |    0.5935     |      64.80%       |      66.20%      |
|  132  |    67.19%    |    0.5949     |      64.72%       |      66.17%      |
|  133  |    67.06%    |    0.5669     |      64.80%       |      66.38%      |
|  134  |    67.21%    |    0.5891     |      64.95%       |      66.29%      |
|  135  |    67.21%    |    0.5855     |      64.82%       |      66.17%      |
|  136  |    67.68%    |    0.5779     |      64.78%       |      66.26%      |
|  137  |    67.31%    |    0.5788     |      64.61%       |      66.47%      |
|  138  |    67.51%    |    0.5665     |      64.91%       |      65.96%      |
|  139  |    67.25%    |    0.5895     |      64.67%       |      66.17%      |
|  140  |    67.46%    |    0.5882     |      64.64%       |      66.15%      |
|  141  |    67.31%    |    0.5872     |      64.75%       |      66.00%      |
|  142  |    67.24%    |    0.5862     |      64.68%       |      66.00%      |
|  143  |    67.44%    |    0.5790     |      65.07%       |      66.39%      |
|  144  |    67.30%    |    0.5822     |      64.70%       |      66.30%      |
|  145  |    67.47%    |    0.5962     |      64.85%       |      66.46%      |
|  146  |    67.63%    |    0.5788     |      64.87%       |      66.21%      |
|  147  |    67.32%    |    0.5991     |      64.53%       |      66.15%      |
|  148  |    67.26%    |    0.5953     |      64.84%       |      66.43%      |
|  149  |    67.18%    |    0.5862     |      64.95%       |      66.36%      |
|  150  |    67.43%    |    0.5926     |      64.67%       |      66.07%      |
|  151  |    67.25%    |    0.5752     |      64.77%       |      66.10%      |
|  152  |    67.33%    |    0.5866     |      64.87%       |      66.38%      |
|  153  |    67.35%    |    0.5803     |      65.00%       |      66.23%      |
|  154  |    67.27%    |    0.5822     |      64.79%       |      66.14%      |
|  155  |    67.42%    |    0.5815     |      64.89%       |      66.76%      |
|  156  |    67.38%    |    0.5859     |      64.77%       |      66.60%      |
|  157  |    67.41%    |    0.5921     |      64.99%       |      66.57%      |
|  158  |    67.58%    |    0.5895     |      64.92%       |      66.55%      |
|  159  |    67.32%    |    0.5697     |      64.69%       |      66.47%      |
|  160  |    67.56%    |    0.5943     |      64.96%       |      66.55%      |
|  161  |    67.51%    |    0.6010     |      64.83%       |      66.49%      |
|  162  |    67.42%    |    0.5832     |      64.63%       |      66.25%      |
|  163  |    67.48%    |    0.5951     |      64.87%       |      66.25%      |
|  164  |    67.31%    |    0.5718     |      64.66%       |      66.00%      |
|  165  |    67.71%    |    0.5845     |      64.77%       |      66.13%      |
|  166  |    67.36%    |    0.5783     |      64.86%       |      66.30%      |
|  167  |    67.33%    |    0.5788     |      64.86%       |      66.48%      |
|  168  |    67.52%    |    0.5834     |      64.77%       |      66.16%      |
|  169  |    67.42%    |    0.5968     |      64.92%       |      66.94%      |
|  170  |    67.59%    |    0.5885     |      64.82%       |      66.26%      |
|  171  |    67.56%    |    0.5757     |      64.73%       |      66.16%      |
|  172  |    67.66%    |    0.5821     |      65.12%       |      66.96%      |
|  173  |    67.39%    |    0.5838     |      64.90%       |      66.41%      |
|  174  |    67.71%    |    0.5763     |      64.70%       |      66.63%      |
|  175  |    67.55%    |    0.5976     |      64.91%       |      66.55%      |
|  176  |    67.42%    |    0.5876     |      64.74%       |      66.38%      |
|  177  |    67.56%    |    0.5789     |      65.03%       |      66.28%      |
|  178  |    67.74%    |    0.5942     |      64.76%       |      65.89%      |
|  179  |    67.48%    |    0.5947     |      64.81%       |      66.72%      |
|  180  |    67.62%    |    0.5842     |      65.12%       |      66.59%      |
|  181  |    67.36%    |    0.5752     |      64.75%       |      66.75%      |
|  182  |    67.37%    |    0.5873     |      64.81%       |      66.01%      |
|  183  |    67.34%    |    0.5757     |      64.83%       |      66.04%      |
|  184  |    67.51%    |    0.5852     |      65.00%       |      66.65%      |
|  185  |    67.56%    |    0.5793     |      64.87%       |      66.52%      |
|  186  |    67.38%    |    0.5827     |      64.77%       |      66.82%      |
|  187  |    67.38%    |    0.5905     |      64.92%       |      66.65%      |
|  188  |    67.73%    |    0.5692     |      65.03%       |      66.49%      |
|  189  |    67.54%    |    0.5899     |      64.64%       |      65.96%      |
|  190  |    67.33%    |    0.5759     |      64.99%       |      66.56%      |
|  191  |    67.36%    |    0.5792     |      64.86%       |      66.72%      |
|  192  |    67.59%    |    0.5736     |      64.73%       |      66.30%      |
|  193  |    67.64%    |    0.5759     |      65.02%       |      66.78%      |
|  194  |    67.77%    |    0.5850     |      64.85%       |      66.89%      |
|  195  |    67.47%    |    0.5996     |      64.81%       |      65.71%      |
|  196  |    67.39%    |    0.5866     |      64.91%       |      66.69%      |
|  197  |    67.32%    |    0.5706     |      64.77%       |      66.42%      |
|  198  |    67.47%    |    0.5797     |      64.91%       |      66.36%      |
|  199  |    67.41%    |    0.5737     |      64.85%       |      66.48%      |
|  200  |    67.54%    |    0.5822     |      64.65%       |      66.01%      |
