| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    57.61%    |    0.6396     |      63.28%       |      64.32%      |
|   2   |    65.71%    |    0.6418     |      64.64%       |      66.87%      |
|   3   |    66.56%    |    0.6308     |      65.01%       |      66.34%      |
|   4   |    66.39%    |    0.6121     |      65.05%       |      66.33%      |
|   5   |    66.52%    |    0.6217     |      64.85%       |      66.41%      |
|   6   |    66.69%    |    0.6278     |      65.03%       |      66.65%      |
|   7   |    66.83%    |    0.6124     |      65.19%       |      67.31%      |
|   8   |    66.86%    |    0.5855     |      65.16%       |      66.57%      |
|   9   |    66.71%    |    0.6207     |      65.01%       |      66.28%      |
|  10   |    66.76%    |    0.6176     |      65.18%       |      66.69%      |
|  11   |    66.89%    |    0.6463     |      65.10%       |      66.78%      |
|  12   |    66.89%    |    0.5877     |      64.78%       |      66.48%      |
|  13   |    66.85%    |    0.6040     |      65.23%       |      66.43%      |
|  14   |    66.80%    |    0.5960     |      64.98%       |      65.97%      |
|  15   |    66.92%    |    0.5951     |      65.10%       |      66.75%      |
|  16   |    66.83%    |    0.5938     |      65.27%       |      66.44%      |
|  17   |    67.01%    |    0.5823     |      65.11%       |      66.50%      |
|  18   |    66.95%    |    0.6013     |      65.07%       |      66.62%      |
|  19   |    66.88%    |    0.6238     |      64.92%       |      66.33%      |
|  20   |    67.09%    |    0.6114     |      65.21%       |      66.17%      |
|  21   |    67.10%    |    0.6000     |      65.08%       |      66.83%      |
|  22   |    66.97%    |    0.6082     |      64.99%       |      66.59%      |
|  23   |    67.19%    |    0.5996     |      64.95%       |      66.46%      |
|  24   |    67.29%    |    0.5924     |      64.81%       |      66.05%      |
|  25   |    67.23%    |    0.6002     |      65.18%       |      66.57%      |
|  26   |    67.22%    |    0.6072     |      65.18%       |      66.23%      |
|  27   |    67.33%    |    0.6010     |      65.09%       |      66.57%      |
|  28   |    67.40%    |    0.5825     |      64.83%       |      66.39%      |
|  29   |    67.40%    |    0.5840     |      65.14%       |      66.73%      |
|  30   |    67.16%    |    0.5854     |      65.05%       |      66.28%      |
|  31   |    67.00%    |    0.5935     |      64.97%       |      66.05%      |
|  32   |    67.21%    |    0.6021     |      65.05%       |      66.66%      |
|  33   |    67.28%    |    0.5944     |      65.28%       |      66.16%      |
|  34   |    67.22%    |    0.5946     |      65.29%       |      66.55%      |
|  35   |    67.24%    |    0.5975     |      65.09%       |      66.33%      |
|  36   |    67.40%    |    0.5992     |      65.14%       |      66.82%      |
|  37   |    67.33%    |    0.5862     |      65.03%       |      66.87%      |
|  38   |    67.20%    |    0.5918     |      65.17%       |      66.60%      |
|  39   |    67.34%    |    0.5865     |      64.90%       |      66.89%      |
