| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    60.83%    |    0.6433     |      64.65%       |      66.94%      |
|   2   |    66.42%    |    0.6186     |      65.27%       |      66.86%      |
|   3   |    66.28%    |    0.6092     |      65.21%       |      66.66%      |
|   4   |    66.10%    |    0.6130     |      65.36%       |      66.83%      |
|   5   |    66.22%    |    0.6014     |      65.35%       |      66.92%      |
|   6   |    66.48%    |    0.6133     |      65.27%       |      66.28%      |
|   7   |    66.58%    |    0.6207     |      65.25%       |      66.82%      |
|   8   |    66.47%    |    0.5970     |      65.26%       |      67.11%      |
|   9   |    66.68%    |    0.5937     |      65.14%       |      66.94%      |
|  10   |    66.50%    |    0.6381     |      65.30%       |      66.95%      |
|  11   |    66.42%    |    0.6074     |      65.17%       |      66.29%      |
|  12   |    66.66%    |    0.5874     |      65.16%       |      65.65%      |
|  13   |    66.61%    |    0.5960     |      65.30%       |      66.43%      |
|  14   |    66.67%    |    0.5961     |      65.27%       |      66.42%      |
|  15   |    66.78%    |    0.5862     |      65.46%       |      66.99%      |
|  16   |    66.68%    |    0.5831     |      65.20%       |      66.67%      |
|  17   |    66.44%    |    0.6153     |      64.94%       |      65.64%      |
|  18   |    66.31%    |    0.5983     |      65.22%       |      65.62%      |
|  19   |    66.63%    |    0.6032     |      65.18%       |      65.94%      |
|  20   |    66.47%    |    0.5807     |      65.27%       |      66.74%      |
|  21   |    66.58%    |    0.5777     |      65.19%       |      66.82%      |
|  22   |    66.43%    |    0.5952     |      65.14%       |      66.42%      |
|  23   |    66.64%    |    0.5801     |      65.35%       |      67.63%      |
|  24   |    66.71%    |    0.5994     |      65.25%       |      66.85%      |
|  25   |    66.89%    |    0.5788     |      65.29%       |      66.81%      |
|  26   |    66.69%    |    0.6071     |      65.02%       |      65.38%      |
|  27   |    66.51%    |    0.5855     |      65.15%       |      66.59%      |
|  28   |    66.94%    |    0.5804     |      65.26%       |      66.59%      |
|  29   |    66.83%    |    0.5823     |      65.24%       |      66.55%      |
|  30   |    66.53%    |    0.5989     |      65.23%       |      66.51%      |
|  31   |    66.71%    |    0.5901     |      65.24%       |      66.15%      |
|  32   |    66.76%    |    0.5792     |      65.17%       |      66.91%      |
|  33   |    66.61%    |    0.6173     |      65.23%       |      66.94%      |
|  34   |    66.93%    |    0.5740     |      65.33%       |      66.93%      |
|  35   |    66.83%    |    0.5718     |      65.23%       |      67.12%      |
|  36   |    66.84%    |    0.5845     |      65.18%       |      66.76%      |
|  37   |    66.63%    |    0.5848     |      65.29%       |      66.80%      |
|  38   |    66.49%    |    0.5844     |      65.24%       |      66.48%      |
|  39   |    66.53%    |    0.5890     |      65.14%       |      66.02%      |
|  40   |    66.78%    |    0.5852     |      64.99%       |      66.58%      |
|  41   |    66.88%    |    0.5957     |      65.29%       |      66.38%      |
|  42   |    66.77%    |    0.5826     |      65.28%       |      66.69%      |
|  43   |    66.66%    |    0.5847     |      65.33%       |      66.88%      |
|  44   |    66.39%    |    0.5926     |      65.25%       |      66.50%      |
|  45   |    67.02%    |    0.5926     |      65.04%       |      65.78%      |
|  46   |    66.96%    |    0.5806     |      65.30%       |      66.59%      |
|  47   |    66.78%    |    0.5848     |      65.33%       |      66.51%      |
|  48   |    66.87%    |    0.5862     |      65.20%       |      66.44%      |
|  49   |    66.34%    |    0.5941     |      65.36%       |      67.33%      |
|  50   |    66.71%    |    0.5855     |      65.21%       |      66.41%      |
|  51   |    66.90%    |    0.5801     |      65.30%       |      67.00%      |
|  52   |    66.71%    |    0.5842     |      65.22%       |      67.06%      |
|  53   |    66.79%    |    0.5914     |      65.31%       |      66.93%      |
|  54   |    66.82%    |    0.5764     |      65.34%       |      67.10%      |
|  55   |    66.52%    |    0.5856     |      65.21%       |      66.73%      |
|  56   |    66.79%    |    0.5709     |      65.40%       |      67.05%      |
|  57   |    66.59%    |    0.5808     |      65.31%       |      67.12%      |
|  58   |    67.03%    |    0.5767     |      65.31%       |      67.26%      |
|  59   |    66.91%    |    0.5872     |      65.11%       |      66.88%      |
|  60   |    66.71%    |    0.5804     |      65.15%       |      66.53%      |
|  61   |    66.81%    |    0.5728     |      65.28%       |      66.40%      |
|  62   |    66.60%    |    0.5837     |      65.34%       |      66.94%      |
|  63   |    66.73%    |    0.6070     |      65.40%       |      67.20%      |
|  64   |    66.72%    |    0.5871     |      65.16%       |      66.72%      |
|  65   |    66.96%    |    0.6037     |      65.31%       |      66.83%      |
|  66   |    66.98%    |    0.5912     |      65.28%       |      66.51%      |
|  67   |    66.77%    |    0.5914     |      65.01%       |      65.65%      |
|  68   |    66.84%    |    0.5774     |      65.44%       |      67.41%      |
|  69   |    67.05%    |    0.5797     |      65.21%       |      66.41%      |
|  70   |    66.85%    |    0.5925     |      65.17%       |      66.49%      |
|  71   |    66.99%    |    0.5967     |      65.26%       |      66.50%      |
|  72   |    66.92%    |    0.5847     |      65.24%       |      66.49%      |
|  73   |    66.95%    |    0.5877     |      65.27%       |      67.18%      |
|  74   |    67.17%    |    0.5839     |      65.28%       |      66.84%      |
|  75   |    66.92%    |    0.5776     |      65.34%       |      67.08%      |
|  76   |    66.80%    |    0.5981     |      65.24%       |      66.26%      |
|  77   |    66.73%    |    0.5982     |      65.22%       |      66.41%      |
|  78   |    66.57%    |    0.5795     |      65.14%       |      66.36%      |
|  79   |    66.89%    |    0.5923     |      65.27%       |      66.64%      |
|  80   |    66.96%    |    0.5872     |      65.33%       |      67.21%      |
|  81   |    66.75%    |    0.5882     |      65.19%       |      66.39%      |
|  82   |    66.97%    |    0.5736     |      65.31%       |      66.99%      |
|  83   |    66.68%    |    0.5834     |      65.07%       |      67.11%      |
|  84   |    66.84%    |    0.5687     |      65.38%       |      66.92%      |
|  85   |    66.65%    |    0.5957     |      65.13%       |      65.96%      |
|  86   |    67.08%    |    0.5880     |      65.21%       |      66.77%      |
|  87   |    66.99%    |    0.5764     |      65.32%       |      66.79%      |
|  88   |    66.83%    |    0.5901     |      65.32%       |      66.75%      |
|  89   |    67.05%    |    0.5950     |      65.14%       |      66.18%      |
|  90   |    66.87%    |    0.5857     |      65.25%       |      67.08%      |
|  91   |    66.69%    |    0.5845     |      65.27%       |      66.80%      |
|  92   |    66.99%    |    0.5819     |      65.21%       |      66.48%      |
|  93   |    67.15%    |    0.5751     |      65.26%       |      66.50%      |
|  94   |    67.12%    |    0.5808     |      64.89%       |      66.70%      |
|  95   |    67.03%    |    0.5681     |      65.18%       |      66.55%      |
|  96   |    67.13%    |    0.5759     |      65.12%       |      66.86%      |
|  97   |    66.95%    |    0.5858     |      65.26%       |      67.36%      |
|  98   |    66.84%    |    0.5716     |      65.11%       |      65.94%      |
|  99   |    66.83%    |    0.6029     |      65.34%       |      66.94%      |
|  100  |    66.97%    |    0.5981     |      65.29%       |      66.77%      |
|  101  |    66.82%    |    0.5872     |      65.15%       |      66.46%      |
|  102  |    67.04%    |    0.5903     |      65.18%       |      66.26%      |
|  103  |    66.88%    |    0.5628     |      65.19%       |      66.45%      |
|  104  |    66.85%    |    0.5940     |      65.15%       |      66.65%      |
|  105  |    67.02%    |    0.5865     |      65.21%       |      66.59%      |
|  106  |    67.21%    |    0.5937     |      65.15%       |      66.80%      |
|  107  |    67.15%    |    0.5806     |      65.21%       |      66.74%      |
|  108  |    67.08%    |    0.5778     |      65.28%       |      67.11%      |
|  109  |    66.61%    |    0.5703     |      65.20%       |      66.82%      |
|  110  |    67.20%    |    0.5723     |      65.26%       |      67.17%      |
|  111  |    67.05%    |    0.5923     |      65.12%       |      66.22%      |
|  112  |    66.84%    |    0.5841     |      65.10%       |      66.23%      |
|  113  |    66.97%    |    0.5884     |      65.37%       |      66.85%      |
|  114  |    67.01%    |    0.5772     |      65.21%       |      66.71%      |
|  115  |    66.93%    |    0.5778     |      65.25%       |      66.34%      |
|  116  |    67.09%    |    0.5783     |      65.25%       |      66.53%      |
|  117  |    67.16%    |    0.5839     |      65.23%       |      67.31%      |
|  118  |    67.10%    |    0.6005     |      65.32%       |      67.12%      |
|  119  |    66.91%    |    0.5682     |      65.26%       |      66.06%      |
|  120  |    67.00%    |    0.5774     |      65.33%       |      66.24%      |
|  121  |    67.03%    |    0.5717     |      65.36%       |      66.48%      |
|  122  |    66.94%    |    0.5774     |      65.18%       |      66.48%      |
|  123  |    67.02%    |    0.5772     |      65.06%       |      66.47%      |
|  124  |    67.08%    |    0.5865     |      65.16%       |      66.54%      |
|  125  |    67.13%    |    0.5890     |      65.15%       |      66.45%      |
|  126  |    67.03%    |    0.5874     |      65.36%       |      67.43%      |
|  127  |    67.15%    |    0.5788     |      65.39%       |      66.84%      |
|  128  |    66.85%    |    0.5622     |      65.28%       |      66.66%      |
|  129  |    66.89%    |    0.5855     |      65.13%       |      66.57%      |
|  130  |    67.22%    |    0.5790     |      65.18%       |      67.46%      |
|  131  |    66.94%    |    0.5921     |      65.21%       |      66.56%      |
|  132  |    66.87%    |    0.5875     |      65.38%       |      66.87%      |
|  133  |    67.20%    |    0.5829     |      65.21%       |      66.57%      |
|  134  |    67.17%    |    0.5792     |      65.22%       |      66.76%      |
|  135  |    67.15%    |    0.5717     |      65.21%       |      66.73%      |
|  136  |    67.13%    |    0.5821     |      65.21%       |      66.61%      |
|  137  |    66.99%    |    0.5815     |      65.22%       |      66.92%      |
|  138  |    67.35%    |    0.5851     |      65.25%       |      66.88%      |
|  139  |    66.95%    |    0.5858     |      65.30%       |      66.93%      |
|  140  |    67.02%    |    0.5789     |      65.35%       |      67.41%      |
|  141  |    67.30%    |    0.5906     |      65.18%       |      66.65%      |
|  142  |    66.90%    |    0.5881     |      65.25%       |      67.15%      |
|  143  |    66.99%    |    0.5853     |      65.25%       |      66.89%      |
|  144  |    66.98%    |    0.5903     |      65.25%       |      66.55%      |
|  145  |    66.98%    |    0.5921     |      65.33%       |      67.30%      |
|  146  |    67.09%    |    0.5974     |      65.18%       |      66.97%      |
|  147  |    66.91%    |    0.5744     |      65.17%       |      66.83%      |
|  148  |    66.87%    |    0.5838     |      65.31%       |      66.59%      |
|  149  |    66.99%    |    0.5849     |      65.33%       |      67.21%      |
|  150  |    67.27%    |    0.5926     |      65.14%       |      66.77%      |
|  151  |    67.22%    |    0.5843     |      65.25%       |      66.81%      |
|  152  |    67.09%    |    0.5663     |      65.20%       |      66.74%      |
|  153  |    67.08%    |    0.5912     |      65.37%       |      66.91%      |
|  154  |    66.98%    |    0.5700     |      65.22%       |      66.96%      |
|  155  |    66.85%    |    0.5831     |      65.28%       |      66.62%      |
|  156  |    66.94%    |    0.5667     |      65.18%       |      66.78%      |
|  157  |    66.97%    |    0.5874     |      65.36%       |      66.80%      |
|  158  |    66.98%    |    0.5831     |      65.34%       |      67.47%      |
|  159  |    67.15%    |    0.5812     |      65.31%       |      66.96%      |
|  160  |    67.18%    |    0.5851     |      65.15%       |      66.69%      |
|  161  |    67.05%    |    0.5848     |      65.00%       |      66.87%      |
|  162  |    67.28%    |    0.5827     |      65.37%       |      67.44%      |
|  163  |    67.12%    |    0.5762     |      65.14%       |      66.35%      |
|  164  |    67.08%    |    0.5890     |      65.25%       |      67.22%      |
|  165  |    66.77%    |    0.5707     |      65.31%       |      67.48%      |
|  166  |    66.93%    |    0.5796     |      65.24%       |      66.87%      |
|  167  |    67.15%    |    0.5832     |      65.16%       |      66.79%      |
|  168  |    67.18%    |    0.5880     |      65.25%       |      66.77%      |
|  169  |    67.05%    |    0.5796     |      65.35%       |      67.16%      |
|  170  |    67.41%    |    0.5835     |      65.35%       |      67.32%      |
|  171  |    67.23%    |    0.5576     |      65.27%       |      66.97%      |
|  172  |    67.15%    |    0.5752     |      65.13%       |      66.63%      |
|  173  |    67.20%    |    0.5829     |      65.11%       |      66.33%      |
|  174  |    67.04%    |    0.5675     |      65.36%       |      67.11%      |
|  175  |    67.17%    |    0.5856     |      65.34%       |      67.04%      |
|  176  |    67.03%    |    0.5839     |      65.28%       |      67.06%      |
|  177  |    67.20%    |    0.5731     |      65.27%       |      66.95%      |
|  178  |    67.31%    |    0.5778     |      65.30%       |      67.10%      |
|  179  |    67.11%    |    0.5692     |      65.25%       |      67.11%      |
|  180  |    66.94%    |    0.5768     |      65.19%       |      66.90%      |
|  181  |    67.22%    |    0.5839     |      65.28%       |      66.29%      |
|  182  |    66.83%    |    0.5895     |      65.16%       |      66.52%      |
|  183  |    67.04%    |    0.5823     |      65.26%       |      67.06%      |
|  184  |    67.32%    |    0.5687     |      65.22%       |      67.09%      |
|  185  |    67.02%    |    0.5909     |      65.29%       |      66.63%      |
|  186  |    67.32%    |    0.5829     |      65.28%       |      66.65%      |
|  187  |    67.09%    |    0.5857     |      65.16%       |      67.12%      |
|  188  |    67.39%    |    0.5815     |      65.32%       |      66.78%      |
|  189  |    67.22%    |    0.5877     |      65.31%       |      67.27%      |
|  190  |    67.34%    |    0.5802     |      65.21%       |      66.48%      |
|  191  |    66.95%    |    0.5843     |      65.46%       |      67.41%      |
|  192  |    67.06%    |    0.5688     |      65.32%       |      66.87%      |
|  193  |    67.05%    |    0.5779     |      65.22%       |      66.78%      |
|  194  |    67.30%    |    0.5901     |      65.35%       |      67.45%      |
|  195  |    67.10%    |    0.5751     |      65.23%       |      66.96%      |
|  196  |    67.29%    |    0.5773     |      65.34%       |      67.07%      |
|  197  |    67.26%    |    0.5884     |      65.28%       |      67.12%      |
|  198  |    67.28%    |    0.5899     |      65.32%       |      67.33%      |
|  199  |    67.16%    |    0.5732     |      65.17%       |      67.26%      |
|  200  |    67.25%    |    0.5898     |      65.27%       |      66.81%      |
