| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    62.69%    |    0.6311     |      64.78%       |      67.14%      |
|   2   |    66.51%    |    0.6239     |      65.09%       |      66.86%      |
|   3   |    66.14%    |    0.6209     |      65.16%       |      66.90%      |
|   4   |    66.10%    |    0.5983     |      64.85%       |      66.53%      |
|   5   |    65.94%    |    0.6104     |      65.06%       |      66.75%      |
|   6   |    66.20%    |    0.5990     |      64.77%       |      66.33%      |
|   7   |    66.46%    |    0.5866     |      65.08%       |      66.42%      |
|   8   |    66.68%    |    0.5866     |      65.21%       |      66.38%      |
|   9   |    66.37%    |    0.5998     |      64.90%       |      65.31%      |
|  10   |    66.47%    |    0.5854     |      65.17%       |      66.91%      |
|  11   |    66.83%    |    0.5762     |      64.85%       |      66.09%      |
|  12   |    66.40%    |    0.5887     |      64.93%       |      65.76%      |
|  13   |    66.61%    |    0.5815     |      65.06%       |      66.37%      |
|  14   |    66.59%    |    0.6051     |      64.96%       |      66.64%      |
|  15   |    66.45%    |    0.5820     |      64.90%       |      66.44%      |
|  16   |    66.55%    |    0.5753     |      65.04%       |      66.06%      |
|  17   |    66.73%    |    0.5861     |      65.02%       |      66.34%      |
|  18   |    66.56%    |    0.5968     |      65.06%       |      66.56%      |
|  19   |    66.73%    |    0.5974     |      64.94%       |      65.80%      |
|  20   |    67.03%    |    0.5738     |      65.10%       |      66.81%      |
|  21   |    66.98%    |    0.5929     |      65.08%       |      66.70%      |
|  22   |    66.68%    |    0.5888     |      65.19%       |      66.74%      |
|  23   |    66.64%    |    0.6009     |      65.00%       |      66.36%      |
|  24   |    66.90%    |    0.5951     |      65.12%       |      66.58%      |
|  25   |    66.66%    |    0.5806     |      65.03%       |      66.51%      |
|  26   |    66.74%    |    0.5949     |      64.87%       |      66.57%      |
|  27   |    66.92%    |    0.5738     |      64.93%       |      66.40%      |
|  28   |    66.71%    |    0.5937     |      64.86%       |      66.02%      |
|  29   |    66.62%    |    0.5686     |      64.93%       |      65.85%      |
|  30   |    66.78%    |    0.5878     |      65.27%       |      66.75%      |
|  31   |    66.86%    |    0.5801     |      65.09%       |      66.40%      |
|  32   |    66.80%    |    0.6069     |      64.95%       |      66.66%      |
|  33   |    66.81%    |    0.5859     |      65.25%       |      66.72%      |
|  34   |    66.70%    |    0.5823     |      64.96%       |      66.13%      |
|  35   |    66.77%    |    0.5921     |      64.98%       |      66.35%      |
|  36   |    66.74%    |    0.5816     |      65.10%       |      66.47%      |
|  37   |    66.82%    |    0.5658     |      64.96%       |      66.23%      |
|  38   |    66.69%    |    0.5914     |      64.95%       |      66.38%      |
|  39   |    66.69%    |    0.5749     |      65.06%       |      66.35%      |
|  40   |    66.79%    |    0.5698     |      65.17%       |      66.91%      |
|  41   |    66.99%    |    0.5963     |      64.96%       |      66.55%      |
|  42   |    66.68%    |    0.5837     |      65.14%       |      66.57%      |
|  43   |    67.02%    |    0.5823     |      65.13%       |      66.81%      |
|  44   |    66.70%    |    0.5925     |      65.07%       |      66.22%      |
|  45   |    66.75%    |    0.5764     |      64.95%       |      66.71%      |
|  46   |    66.86%    |    0.5829     |      65.13%       |      66.31%      |
|  47   |    66.57%    |    0.6008     |      65.17%       |      66.79%      |
|  48   |    66.75%    |    0.5724     |      65.05%       |      66.11%      |
|  49   |    66.94%    |    0.5685     |      65.03%       |      66.34%      |
|  50   |    66.96%    |    0.5813     |      64.87%       |      66.73%      |
|  51   |    66.95%    |    0.5783     |      65.01%       |      66.88%      |
|  52   |    66.86%    |    0.5782     |      65.21%       |      66.65%      |
|  53   |    67.03%    |    0.5969     |      65.13%       |      66.25%      |
|  54   |    66.66%    |    0.5790     |      65.03%       |      66.48%      |
|  55   |    66.89%    |    0.5807     |      65.15%       |      66.43%      |
|  56   |    66.63%    |    0.6039     |      65.24%       |      66.62%      |
|  57   |    67.03%    |    0.5929     |      65.19%       |      66.55%      |
|  58   |    66.78%    |    0.5817     |      65.08%       |      66.76%      |
|  59   |    67.21%    |    0.5943     |      65.06%       |      66.84%      |
|  60   |    67.09%    |    0.5741     |      65.01%       |      66.97%      |
|  61   |    66.77%    |    0.5933     |      65.16%       |      66.62%      |
|  62   |    67.05%    |    0.5760     |      64.80%       |      66.01%      |
|  63   |    67.19%    |    0.6008     |      64.83%       |      66.31%      |
|  64   |    66.85%    |    0.5816     |      64.95%       |      66.39%      |
