| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    62.81%    |    0.6433     |      64.95%       |      66.70%      |
|   2   |    66.23%    |    0.6035     |      64.88%       |      65.92%      |
|   3   |    66.27%    |    0.5864     |      65.25%       |      67.10%      |
|   4   |    66.65%    |    0.5832     |      64.79%       |      66.05%      |
|   5   |    66.76%    |    0.6021     |      65.11%       |      66.51%      |
|   6   |    66.61%    |    0.6028     |      65.12%       |      66.95%      |
|   7   |    66.78%    |    0.5833     |      65.04%       |      66.50%      |
|   8   |    66.97%    |    0.6049     |      64.91%       |      66.36%      |
|   9   |    66.85%    |    0.6142     |      64.91%       |      66.25%      |
|  10   |    66.83%    |    0.5786     |      64.96%       |      66.63%      |
|  11   |    67.03%    |    0.5744     |      64.84%       |      66.28%      |
|  12   |    66.78%    |    0.6026     |      64.88%       |      66.22%      |
|  13   |    66.77%    |    0.5785     |      64.97%       |      66.55%      |
|  14   |    67.04%    |    0.5686     |      64.95%       |      66.63%      |
|  15   |    66.98%    |    0.5932     |      64.83%       |      66.29%      |
|  16   |    67.25%    |    0.5858     |      64.88%       |      66.41%      |
|  17   |    67.02%    |    0.5837     |      64.94%       |      66.37%      |
|  18   |    66.99%    |    0.5902     |      64.83%       |      66.71%      |
|  19   |    67.01%    |    0.5895     |      64.88%       |      66.04%      |
|  20   |    67.13%    |    0.5952     |      65.02%       |      65.90%      |
|  21   |    66.84%    |    0.6042     |      64.81%       |      65.84%      |
|  22   |    66.75%    |    0.5807     |      65.09%       |      66.70%      |
|  23   |    67.06%    |    0.5828     |      65.00%       |      66.77%      |
|  24   |    67.12%    |    0.5754     |      65.14%       |      66.57%      |
|  25   |    67.22%    |    0.5861     |      65.00%       |      66.50%      |
|  26   |    67.02%    |    0.5927     |      64.99%       |      66.47%      |
|  27   |    67.01%    |    0.5844     |      65.06%       |      66.23%      |
|  28   |    66.79%    |    0.5740     |      65.15%       |      66.18%      |
|  29   |    66.89%    |    0.5832     |      65.07%       |      66.39%      |
|  30   |    67.15%    |    0.5967     |      64.93%       |      66.51%      |
|  31   |    66.98%    |    0.5755     |      65.05%       |      66.72%      |
|  32   |    66.88%    |    0.5760     |      65.13%       |      66.72%      |
|  33   |    67.11%    |    0.5783     |      65.17%       |      67.26%      |
|  34   |    67.30%    |    0.5963     |      65.01%       |      66.21%      |
|  35   |    66.95%    |    0.5875     |      65.06%       |      66.46%      |
|  36   |    66.87%    |    0.5846     |      65.11%       |      67.10%      |
|  37   |    66.79%    |    0.5771     |      65.00%       |      66.54%      |
|  38   |    67.04%    |    0.5946     |      64.99%       |      66.14%      |
|  39   |    66.94%    |    0.5872     |      65.01%       |      66.83%      |
|  40   |    67.29%    |    0.5732     |      64.92%       |      66.86%      |
|  41   |    66.84%    |    0.5874     |      65.05%       |      66.47%      |
|  42   |    67.09%    |    0.5685     |      64.86%       |      66.67%      |
|  43   |    67.09%    |    0.5807     |      65.25%       |      66.65%      |
|  44   |    67.25%    |    0.5678     |      65.31%       |      67.12%      |
|  45   |    67.05%    |    0.5751     |      65.12%       |      66.39%      |
|  46   |    67.09%    |    0.5789     |      64.92%       |      66.38%      |
|  47   |    67.56%    |    0.5735     |      65.14%       |      66.57%      |
|  48   |    67.08%    |    0.5850     |      65.05%       |      66.29%      |
|  49   |    66.82%    |    0.5661     |      65.20%       |      66.89%      |
|  50   |    67.17%    |    0.5778     |      65.14%       |      66.71%      |
|  51   |    67.13%    |    0.5778     |      65.04%       |      66.75%      |
|  52   |    67.34%    |    0.5809     |      65.02%       |      67.29%      |
|  53   |    67.17%    |    0.5768     |      65.03%       |      66.62%      |
|  54   |    67.10%    |    0.5778     |      65.04%       |      66.78%      |
|  55   |    67.04%    |    0.5858     |      65.09%       |      66.56%      |
|  56   |    67.01%    |    0.5856     |      65.13%       |      67.06%      |
|  57   |    67.13%    |    0.5647     |      64.99%       |      66.59%      |
|  58   |    67.22%    |    0.5785     |      65.15%       |      66.76%      |
