| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    63.86%    |    0.6475     |      64.83%       |      66.43%      |
|   2   |    66.10%    |    0.6116     |      65.09%       |      66.78%      |
|   3   |    66.19%    |    0.5942     |      65.14%       |      67.07%      |
|   4   |    66.30%    |    0.5933     |      64.62%       |      66.51%      |
|   5   |    65.93%    |    0.5784     |      65.11%       |      67.23%      |
|   6   |    66.23%    |    0.6062     |      65.26%       |      67.27%      |
|   7   |    66.25%    |    0.6071     |      64.79%       |      66.22%      |
|   8   |    66.05%    |    0.5876     |      65.08%       |      67.14%      |
|   9   |    66.57%    |    0.5820     |      64.70%       |      66.20%      |
|  10   |    66.46%    |    0.5891     |      64.95%       |      66.23%      |
|  11   |    66.46%    |    0.5830     |      65.07%       |      66.55%      |
|  12   |    66.72%    |    0.5846     |      65.02%       |      66.86%      |
|  13   |    66.51%    |    0.5950     |      65.16%       |      66.79%      |
|  14   |    66.36%    |    0.5953     |      65.09%       |      66.70%      |
|  15   |    66.53%    |    0.5808     |      65.24%       |      66.58%      |
|  16   |    66.46%    |    0.5830     |      65.16%       |      66.71%      |
|  17   |    66.69%    |    0.5829     |      65.14%       |      66.67%      |
|  18   |    66.88%    |    0.5991     |      65.18%       |      66.30%      |
|  19   |    66.50%    |    0.6010     |      65.12%       |      66.86%      |
|  20   |    66.19%    |    0.5749     |      65.22%       |      66.88%      |
|  21   |    66.32%    |    0.5939     |      65.05%       |      66.60%      |
|  22   |    66.78%    |    0.5732     |      65.20%       |      67.05%      |
|  23   |    66.62%    |    0.5820     |      65.23%       |      67.10%      |
|  24   |    66.45%    |    0.5936     |      65.18%       |      66.97%      |
|  25   |    66.71%    |    0.5813     |      65.24%       |      67.09%      |
|  26   |    66.99%    |    0.5807     |      65.15%       |      66.79%      |
|  27   |    66.68%    |    0.5836     |      64.81%       |      66.62%      |
|  28   |    66.31%    |    0.5849     |      65.04%       |      66.04%      |
|  29   |    66.74%    |    0.5869     |      65.04%       |      67.08%      |
|  30   |    66.84%    |    0.5937     |      65.18%       |      66.68%      |
|  31   |    66.66%    |    0.5691     |      65.14%       |      66.79%      |
|  32   |    66.75%    |    0.5803     |      64.91%       |      66.60%      |
|  33   |    66.53%    |    0.5834     |      65.15%       |      66.80%      |
|  34   |    66.60%    |    0.5837     |      65.10%       |      66.69%      |
|  35   |    66.88%    |    0.5847     |      65.05%       |      66.42%      |
|  36   |    66.79%    |    0.5828     |      65.21%       |      67.10%      |
|  37   |    66.71%    |    0.5797     |      65.05%       |      66.48%      |
|  38   |    66.71%    |    0.5841     |      64.94%       |      65.84%      |
|  39   |    66.68%    |    0.5716     |      65.21%       |      66.27%      |
|  40   |    66.70%    |    0.5866     |      65.11%       |      66.61%      |
|  41   |    66.45%    |    0.5862     |      65.13%       |      67.15%      |
|  42   |    67.07%    |    0.5869     |      65.09%       |      67.05%      |
|  43   |    66.64%    |    0.5839     |      65.19%       |      66.87%      |
|  44   |    66.65%    |    0.5817     |      65.01%       |      66.70%      |
|  45   |    66.99%    |    0.5775     |      65.25%       |      67.29%      |
|  46   |    66.80%    |    0.5796     |      65.06%       |      66.68%      |
|  47   |    66.83%    |    0.5864     |      65.13%       |      66.83%      |
|  48   |    66.74%    |    0.5898     |      65.06%       |      67.06%      |
|  49   |    66.61%    |    0.5849     |      64.89%       |      65.87%      |
|  50   |    66.62%    |    0.5680     |      65.05%       |      66.71%      |
|  51   |    66.64%    |    0.5823     |      65.12%       |      66.35%      |
|  52   |    66.73%    |    0.5828     |      65.22%       |      66.33%      |
|  53   |    66.54%    |    0.5824     |      65.07%       |      66.95%      |
|  54   |    66.49%    |    0.5816     |      65.13%       |      66.62%      |
|  55   |    66.66%    |    0.6048     |      64.85%       |      66.24%      |
|  56   |    66.49%    |    0.5763     |      65.09%       |      66.47%      |
|  57   |    66.59%    |    0.5771     |      64.91%       |      66.31%      |
|  58   |    66.61%    |    0.5829     |      64.92%       |      66.66%      |
|  59   |    66.57%    |    0.5891     |      65.00%       |      66.15%      |
|  60   |    66.57%    |    0.5914     |      65.10%       |      66.60%      |
|  61   |    66.77%    |    0.5818     |      64.97%       |      66.40%      |
|  62   |    66.76%    |    0.5833     |      65.20%       |      67.21%      |
|  63   |    66.70%    |    0.5862     |      65.02%       |      66.90%      |
|  64   |    66.67%    |    0.5965     |      65.16%       |      67.10%      |
|  65   |    66.65%    |    0.5962     |      65.10%       |      66.84%      |
|  66   |    66.59%    |    0.5796     |      65.11%       |      66.82%      |
|  67   |    67.04%    |    0.5761     |      65.12%       |      66.45%      |
|  68   |    66.64%    |    0.5869     |      64.99%       |      66.75%      |
|  69   |    66.66%    |    0.5824     |      65.17%       |      66.47%      |
|  70   |    66.84%    |    0.5810     |      65.12%       |      66.63%      |
|  71   |    66.85%    |    0.5772     |      65.25%       |      66.58%      |
|  72   |    66.76%    |    0.5878     |      64.94%       |      66.01%      |
|  73   |    66.64%    |    0.5779     |      65.18%       |      66.86%      |
|  74   |    66.94%    |    0.5910     |      65.10%       |      66.63%      |
|  75   |    66.73%    |    0.5826     |      64.98%       |      66.64%      |
|  76   |    66.65%    |    0.5832     |      65.10%       |      66.76%      |
|  77   |    66.86%    |    0.5798     |      65.23%       |      66.24%      |
|  78   |    66.84%    |    0.5703     |      64.90%       |      65.87%      |
|  79   |    66.76%    |    0.5828     |      65.30%       |      66.85%      |
|  80   |    66.87%    |    0.5915     |      65.03%       |      66.43%      |
|  81   |    66.63%    |    0.5844     |      65.19%       |      66.70%      |
|  82   |    66.96%    |    0.5804     |      65.20%       |      66.66%      |
|  83   |    66.75%    |    0.5847     |      65.15%       |      66.00%      |
