| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    64.39%    |    0.6156     |      64.45%       |      65.45%      |
|   2   |    66.36%    |    0.6169     |      65.23%       |      66.90%      |
|   3   |    66.57%    |    0.5997     |      65.32%       |      66.81%      |
|   4   |    66.79%    |    0.6007     |      65.33%       |      66.91%      |
|   5   |    67.02%    |    0.6040     |      64.89%       |      65.73%      |
|   6   |    66.82%    |    0.5817     |      65.57%       |      67.08%      |
|   7   |    66.68%    |    0.5954     |      65.38%       |      66.54%      |
|   8   |    66.59%    |    0.6069     |      65.06%       |      66.65%      |
|   9   |    66.53%    |    0.6050     |      65.31%       |      66.48%      |
|  10   |    66.47%    |    0.5866     |      65.10%       |      66.48%      |
|  11   |    66.62%    |    0.6087     |      64.74%       |      64.74%      |
|  12   |    66.72%    |    0.5732     |      65.31%       |      66.48%      |
|  13   |    66.99%    |    0.5869     |      65.45%       |      66.83%      |
|  14   |    66.87%    |    0.5879     |      65.49%       |      66.86%      |
|  15   |    66.80%    |    0.5777     |      65.50%       |      66.24%      |
|  16   |    67.00%    |    0.5977     |      65.29%       |      66.55%      |
|  17   |    66.89%    |    0.5934     |      65.20%       |      66.14%      |
|  18   |    66.80%    |    0.5827     |      65.33%       |      66.59%      |
|  19   |    67.09%    |    0.5778     |      65.09%       |      65.99%      |
|  20   |    66.93%    |    0.5872     |      65.69%       |      66.62%      |
|  21   |    67.05%    |    0.5841     |      65.46%       |      66.82%      |
|  22   |    67.11%    |    0.5704     |      65.61%       |      67.55%      |
|  23   |    66.70%    |    0.5900     |      65.20%       |      66.71%      |
|  24   |    67.15%    |    0.6072     |      65.15%       |      66.43%      |
|  25   |    66.96%    |    0.5780     |      65.33%       |      67.16%      |
|  26   |    66.91%    |    0.5912     |      65.68%       |      66.60%      |
|  27   |    67.04%    |    0.5926     |      65.30%       |      66.89%      |
|  28   |    67.11%    |    0.5989     |      65.61%       |      67.41%      |
|  29   |    66.86%    |    0.5885     |      65.27%       |      66.57%      |
|  30   |    66.99%    |    0.6133     |      65.47%       |      65.87%      |
|  31   |    66.95%    |    0.5872     |      65.13%       |      65.92%      |
|  32   |    66.86%    |    0.5814     |      65.43%       |      66.87%      |
