| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|   1   |    64.54%    |    0.6294     |      65.17%       |      67.18%      |
|   2   |    66.16%    |    0.5917     |      64.84%       |      66.57%      |
|   3   |    66.14%    |    0.6320     |      64.46%       |      64.43%      |
|   4   |    66.09%    |    0.6047     |      64.97%       |      66.50%      |
|   5   |    66.58%    |    0.5971     |      65.00%       |      66.98%      |
|   6   |    66.24%    |    0.6021     |      64.89%       |      66.51%      |
|   7   |    66.56%    |    0.5943     |      65.14%       |      66.96%      |
|   8   |    66.43%    |    0.5845     |      64.98%       |      66.79%      |
|   9   |    66.76%    |    0.5894     |      64.87%       |      66.78%      |
|  10   |    66.56%    |    0.5872     |      64.94%       |      66.80%      |
|  11   |    66.43%    |    0.5867     |      65.05%       |      66.22%      |
|  12   |    66.50%    |    0.6080     |      64.94%       |      66.18%      |
|  13   |    66.59%    |    0.6074     |      65.03%       |      66.65%      |
|  14   |    66.69%    |    0.5873     |      65.00%       |      66.35%      |
|  15   |    66.62%    |    0.5993     |      64.82%       |      65.34%      |
|  16   |    66.36%    |    0.5906     |      64.94%       |      66.19%      |
|  17   |    66.03%    |    0.5990     |      64.94%       |      66.76%      |
|  18   |    66.41%    |    0.6316     |      65.09%       |      66.52%      |
|  19   |    66.56%    |    0.5710     |      65.03%       |      66.93%      |
|  20   |    66.40%    |    0.5893     |      64.93%       |      67.03%      |
|  21   |    66.69%    |    0.5880     |      64.97%       |      66.43%      |
|  22   |    66.52%    |    0.6006     |      64.67%       |      65.96%      |
|  23   |    66.43%    |    0.6086     |      64.67%       |      66.72%      |
|  24   |    66.65%    |    0.5875     |      64.91%       |      66.30%      |
|  25   |    66.41%    |    0.5942     |      64.81%       |      66.71%      |
|  26   |    66.40%    |    0.5837     |      65.09%       |      66.50%      |
|  27   |    66.78%    |    0.5804     |      65.08%       |      66.56%      |
|  28   |    66.61%    |    0.5803     |      64.65%       |      65.53%      |
|  29   |    66.45%    |    0.5760     |      64.89%       |      66.53%      |
|  30   |    66.64%    |    0.5836     |      65.06%       |      66.75%      |
|  31   |    66.55%    |    0.5953     |      64.60%       |      66.35%      |
|  32   |    67.03%    |    0.5831     |      64.95%       |      66.24%      |
|  33   |    66.49%    |    0.5860     |      64.76%       |      66.48%      |
|  34   |    66.27%    |    0.5808     |      65.08%       |      66.67%      |
|  35   |    66.59%    |    0.5940     |      65.20%       |      67.24%      |
|  36   |    66.69%    |    0.5912     |      64.82%       |      66.47%      |
|  37   |    66.75%    |    0.6452     |      65.00%       |      66.71%      |
|  38   |    66.54%    |    0.5830     |      64.99%       |      66.88%      |
|  39   |    66.43%    |    0.6067     |      64.90%       |      66.34%      |
|  40   |    66.38%    |    0.6174     |      64.75%       |      66.89%      |
|  41   |    66.40%    |    0.5803     |      64.83%       |      66.40%      |
|  42   |    66.66%    |    0.5748     |      65.19%       |      67.19%      |
|  43   |    66.83%    |    0.5959     |      64.95%       |      66.81%      |
|  44   |    65.86%    |    0.5911     |      64.69%       |      66.52%      |
|  45   |    66.34%    |    0.5951     |      64.81%       |      66.26%      |
|  46   |    66.74%    |    0.6026     |      65.02%       |      66.33%      |
|  47   |    66.24%    |    0.5915     |      65.11%       |      66.47%      |
|  48   |    66.80%    |    0.6028     |      63.94%       |      65.82%      |
|  49   |    66.27%    |    0.6040     |      65.04%       |      66.40%      |
|  50   |    66.50%    |    0.5838     |      64.94%       |      66.81%      |
|  51   |    66.66%    |    0.5986     |      65.00%       |      66.50%      |
|  52   |    66.71%    |    0.5897     |      65.00%       |      67.43%      |
|  53   |    66.66%    |    0.5834     |      65.06%       |      66.83%      |
|  54   |    66.60%    |    0.5784     |      64.81%       |      66.09%      |
|  55   |    66.33%    |    0.5884     |      65.15%       |      66.95%      |
|  56   |    66.44%    |    0.5930     |      64.96%       |      66.20%      |
|  57   |    66.51%    |    0.5862     |      64.97%       |      66.42%      |
|  58   |    66.52%    |    0.5893     |      64.73%       |      65.55%      |
|  59   |    66.59%    |    0.5881     |      64.85%       |      66.83%      |
|  60   |    66.65%    |    0.5805     |      65.04%       |      66.06%      |
|  61   |    65.83%    |    0.6022     |      63.97%       |      66.22%      |
|  62   |    66.28%    |    0.5862     |      64.90%       |      66.67%      |
|  63   |    66.78%    |    0.5772     |      64.90%       |      66.38%      |
|  64   |    66.91%    |    0.5777     |      65.06%       |      66.67%      |
|  65   |    66.34%    |    0.5865     |      65.00%       |      66.89%      |
|  66   |    66.75%    |    0.6002     |      64.90%       |      66.30%      |
|  67   |    66.29%    |    0.5863     |      65.01%       |      66.66%      |
|  68   |    65.84%    |    0.6096     |      63.80%       |      62.93%      |
|  69   |    66.51%    |    0.5951     |      65.02%       |      66.42%      |
|  70   |    66.25%    |    0.5934     |      65.05%       |      66.48%      |
|  71   |    66.42%    |    0.5754     |      64.88%       |      66.27%      |
|  72   |    66.55%    |    0.5748     |      64.95%       |      66.46%      |
