2024-01-29 16:58:51,353 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Configure stats pid to 74921
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Loading settings from /Users/adamimos/.config/wandb/settings
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Loading settings from /Users/adamimos/Documents/GitHub/epsilon-transformers/wandb/settings
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'RRXOR_initial_sweep', 'entity': 'adamimos', 'root_dir': '/Users/adamimos/Documents/GitHub/epsilon-transformers', 'run_id': '97m89zeo', 'sweep_param_path': '/Users/adamimos/Documents/GitHub/epsilon-transformers/wandb/sweep-hd1o95xd/config-97m89zeo.yaml', 'sweep_id': 'hd1o95xd'}
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test.py', 'program_abspath': '/Users/adamimos/Documents/GitHub/epsilon-transformers/test.py', 'program': '/Users/adamimos/Documents/GitHub/epsilon-transformers/./test.py'}
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_init.py:_log_setup():524] Logging user logs to /Users/adamimos/Documents/GitHub/epsilon-transformers/wandb/run-20240129_165851-97m89zeo/logs/debug.log
2024-01-29 16:58:51,354 INFO    Thread-9 (_run_job):74921 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/adamimos/Documents/GitHub/epsilon-transformers/wandb/run-20240129_165851-97m89zeo/logs/debug-internal.log
2024-01-29 16:58:51,355 INFO    Thread-9 (_run_job):74921 [wandb_init.py:init():564] calling init triggers
2024-01-29 16:58:51,355 INFO    Thread-9 (_run_job):74921 [wandb_init.py:init():571] wandb.init called with sweep_config: {'act_fn': 'relu', 'attention_dir': 'causal', 'attn_only': False, 'batch_size': 512, 'd_head': 16, 'd_mlp': 32, 'd_model': 8, 'd_vocab': 2, 'init_weights': True, 'learning_rate': 0.0001, 'n_ctx': 10, 'n_heads': 4, 'n_layers': 2, 'normalization_type': None, 'num_epochs': 200, 'optimizer': 'sgd', 'seed': 42, 'use_attn_scale': True, 'weight_decay': 0.08}
config: {}
2024-01-29 16:58:51,355 INFO    Thread-9 (_run_job):74921 [wandb_init.py:init():614] starting backend
